Title,count,mean,std,min,25%,50%,75%,max
1st Ed as of Oct 1,1.0,0.28125,,0.28125,0.28125,0.28125,0.28125,0.28125
A Haunted House,736.0,0.23490622941370226,0.0349744906819304,0.08333333333333333,0.1875,0.25,0.25,0.375
A Room of One's Own,312.0,0.6412139645655268,1.6377158626200192,0.0,0.03125,0.16666666666666666,0.5,16.166666666666664
A Room of One's Own 2nd Impression,315.0,0.6223794479330194,1.251863238167107,0.0,0.02388888888888889,0.16666666666666666,0.5885416666666666,8.5625
A Room of One's Own 3rd Impression,825.0,0.7284454490879483,1.9800248100214262,0.0,0.03125,0.16666666666666666,0.51875,16.666666666666664
A Room of One's Own 5th Impression,440.0,0.5285736344673843,1.5936590563495794,0.0,0.03125,0.1828125,0.38988095238095233,16.575
A Room of One's Own Limited Edition,25.0,2.6233400000000002,5.272016634956615,0.0,0.26666666666666666,1.4,2.4,26.6
A Room of One's Own O. S.,5.0,0.00125,0.002795084971874737,0.0,0.0,0.0,0.0,0.00625
All Passion Spent,1710.0,0.23873439322211415,0.07436768562889157,0.0,0.2,0.25,0.2551875,2.5714285714285716
All Passion Spent Cheap Edition,1239.0,0.1254568536454114,0.05674996774376145,0.0,0.11666666666666665,0.11666666666666667,0.13125,1.6
All Passion Spent O. S.,3.0,0.25,0.0,0.25,0.25,0.25,0.25,0.25
All Passion Spent On Sale,15.0,0.15537037037037038,0.15652763400039404,0.009722222222222222,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.7
Between the Acts,1534.0,0.23486100963537462,0.04640974439994798,0.0,0.23750000000000002,0.25,0.25,0.4
Edwardians,64.0,0.11569140624999986,0.00337662625550686,0.10416666666666667,0.11666666666666665,0.11666666666666665,0.11666666666666667,0.11666666666666667
Edwardians OS.,1126.0,0.12451967576778784,0.01953501462585996,0.008974358974358974,0.11666666666666665,0.11666666666666667,0.13125,0.2625
Family History,914.0,0.19977962535539107,0.19014471549179818,0.0,0.1625,0.16666666666666669,0.25,5.375
Family History OS.,23.0,0.20361150070126224,0.08015806848286074,0.008064516129032258,0.165625,0.25,0.25,0.25
O. S.,4.0,0.26822916666666663,0.030208333333333327,0.2375,0.246875,0.265625,0.2869791666666667,0.30416666666666664
ON SALE - The Dark Island,40.0,0.24364583333333328,0.02903262084900058,0.11666666666666667,0.25,0.25,0.25,0.28125
OS.,1.0,0.25,,0.25,0.25,0.25,0.25,0.25
Orland 2nd Impression,411.0,0.3171929575560966,0.03577619630162889,0.19166666666666665,0.3,0.33749999999999997,0.33749999999999997,0.5
Orlando,987.0,0.3226771944002226,0.10016131543050744,0.05,0.3,0.3,0.33749999999999997,3.2285714285714286
Orlando O.S.,5.0,0.32249999999999995,0.020539595906443716,0.3,0.3,0.33749999999999997,0.33749999999999997,0.33749999999999997
Orlando ON SALE,3.0,0.3083333333333333,0.050518148554092236,0.25,0.29374999999999996,0.33749999999999997,0.33749999999999997,0.33749999999999997
Orlando OS.,5.0,0.3075,0.016770509831248413,0.3,0.3,0.3,0.3,0.33749999999999997
Orlando Third Impression,550.0,0.3133407732387183,0.05754225291920687,-0.0,0.3,0.33749999999999997,0.33749999999999997,1.0
The Dark Island,727.0,0.21332418254691787,0.05310477671677706,0.041666666666666664,0.1625,0.25,0.25,0.375
The Edwardians,1988.0,0.2431443861186852,0.050138001485889025,0.0,0.23749999999999996,0.25,0.28125,1.425
The Edwardians O.S.,5.0,0.25,0.0,0.25,0.25,0.25,0.25,0.25
"The Edwardians, Limited Ed. ",52.0,0.5535950854700854,0.28249775018470724,0.0,0.2777777777777778,0.4166666666666667,0.8333333333333334,1.25
The Voyage Out,54.0,0.2532407407407407,0.042280592445638206,0.1625,0.25,0.25,0.28125,0.375
The Waves,1486.0,0.25601303368476375,0.17080935587992313,0.0,0.23750000000000002,0.25,0.28125,3.28125
The Waves (1st Ed.),1.0,0.28125,,0.28125,0.28125,0.28125,0.28125,0.28125
The Waves O.S.,2.0,0.25,0.0,0.25,0.25,0.25,0.25,0.25
The Waves OS.,7.0,0.2544642857142857,0.01181138978153835,0.25,0.25,0.25,0.25,0.28125
The Years,2065.0,0.8878670888270009,3.5267306101532263,0.0,0.10625000000000001,0.2833333333333333,0.6375,84.95
To the Lighthouse,1100.0,0.2567847853535346,0.047569372289244016,0.0,0.25,0.25,0.28125,0.75
To the Lighthouse O. S. ,1.0,0.28125,,0.28125,0.28125,0.28125,0.28125,0.28125
To the Lighthouse O.S.,2.0,0.265625,0.02209708691207961,0.25,0.2578125,0.265625,0.2734375,0.28125
Years On Sale,46.0,0.4147159513192122,1.0531976041518354,0.0,0.0,0.11666666666666665,0.53125,7.0
