Title,Code / Notes,count,mean,std,min,25%,50%,75%,max
A Haunted House,2 retd,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
A Haunted House,6 retd,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
A Haunted House,CC,179.0,1.2331238361266295,2.8688544435136185,0.1875,0.375,0.5625,1.125,30.5625
A Room of One's Own,Dept. B,2.0,0.5833333333333334,0.3535533905932738,0.3333333333333333,0.45833333333333337,0.5833333333333334,0.7083333333333334,0.8333333333333334
A Room of One's Own,LL,259.0,1.5187902187902185,4.278883686459212,0.0,0.16666666666666666,0.5,1.1875,41.166666666666664
A Room of One's Own,LL pp,9.0,1.3194444444444444,2.5678298230217673,0.0,0.16666666666666666,0.3333333333333333,1.375,8.0
A Room of One's Own 2nd Impression,LL,243.0,1.5462105624142666,3.1071760054768407,0.0,0.1875,0.5,1.5,16.5
A Room of One's Own 2nd Impression,LL + post,3.0,0.888888888888889,0.1924500897298752,0.6666666666666667,0.8333333333333334,1.0,1.0,1.0
A Room of One's Own 2nd Impression,LL pp,8.0,0.7760416666666667,1.3679812746734303,0.0,0.0,0.17708333333333331,0.796875,4.0
A Room of One's Own 3rd Impression,LL,619.0,1.2629644588045232,2.811920459031249,0.0,0.1875,0.375,1.1875,28.0
A Room of One's Own 3rd Impression,LL (1 post),1.0,1.6666666666666665,,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665
A Room of One's Own 3rd Impression,LL (post for 1),1.0,0.0,,0.0,0.0,0.0,0.0,0.0
A Room of One's Own 3rd Impression,LL + post,15.0,0.49861111111111106,0.6260143884530647,0.0,0.1875,0.375,0.53125,2.333333333333333
A Room of One's Own 3rd Impression,LL + post?,3.0,0.9583333333333334,1.0758959444729463,0.1875,0.34375,0.5,1.34375,2.1875
A Room of One's Own 3rd Impression,LL pp,12.0,2.100694444444444,4.520923520023947,0.0,0.1875,0.75,1.2083333333333333,16.1875
A Room of One's Own 3rd Impression,LL pp + post,1.0,0.5625,,0.5625,0.5625,0.5625,0.5625,0.5625
A Room of One's Own 3rd Impression,Nett ,1.0,0.1875,,0.1875,0.1875,0.1875,0.1875,0.1875
A Room of One's Own 3rd Impression,post,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
A Room of One's Own 5th Impression,COD,1.0,0.1875,,0.1875,0.1875,0.1875,0.1875,0.1875
A Room of One's Own 5th Impression,LL,307.0,0.9122421281216065,1.9115181665806524,0.0,0.1875,0.3333333333333333,1.1666666666666665,16.25
A Room of One's Own 5th Impression,LL + post,43.0,0.8642441860465117,1.3158496035006637,0.0,0.1875,0.5,1.1875,8.1875
A Room of One's Own 5th Impression,LL COD,1.0,0.1875,,0.1875,0.1875,0.1875,0.1875,0.1875
A Room of One's Own 5th Impression,LL pp,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
A Room of One's Own 5th Impression,LL pp COD,2.0,0.09375,0.13258252147247765,0.0,0.046875,0.09375,0.140625,0.1875
A Room of One's Own Limited Edition,LL,25.0,5.0325000000000015,7.548092336257333,0.0,1.6,2.4,5.2,30.6
A Room of One's Own O. S.,LL,3.0,0.008333333333333333,0.007216878364870323,0.0,0.00625,0.0125,0.0125,0.0125
A Room of One's Own O. S.,LL ,1.0,0.05416666666666667,,0.05416666666666667,0.05416666666666667,0.05416666666666667,0.05416666666666667,0.05416666666666667
All Passion Spent, LL CC,1.0,0.4875,,0.4875,0.4875,0.4875,0.4875,0.4875
All Passion Spent,"""+ post""",1.0,0.2708333333333333,,0.2708333333333333,0.2708333333333333,0.2708333333333333,0.2708333333333333,0.2708333333333333
All Passion Spent,"""+post""",1.0,0.525,,0.525,0.525,0.525,0.525,0.525
All Passion Spent,& post,2.0,3.8020833333333335,4.10416560913692,0.9,2.3510416666666667,3.8020833333333335,5.253125,6.704166666666667
All Passion Spent,(see 1069),1.0,2.0,,2.0,2.0,2.0,2.0,2.0
