Author,Code / Notes,Comments,Copies Ordered,Cross Reference,Date Order Fulfilled,Date Order Received,Date Payment Received,Hand,Markings,Pence,Pounds,Purchaser,Running Total,Shillings,Title,Copies Returned
Virginia Woolf,CC,,6,,,1944-01-03 00:00:00,,,,6,1,Rupa,6159,2,A Haunted House,
Virginia Woolf,CC,,2,,,1944-01-03 00:00:00,,,,6,0,Menzies  ,6161,7,A Haunted House,
Virginia Woolf,CC,,6,,,1944-01-03 00:00:00,,,,6,1,MacLeod,6167,2,A Haunted House,
Virginia Woolf,CC,,3,,,1944-01-03 00:00:00,,,,3,0,McGills,6168,11,A Haunted House,
Virginia Woolf,,,2,,,1944-01-03 00:00:00,,,,3,0,New Statesman,6170,11,A Haunted House,
Virginia Woolf,CC,,3,,,1944-01-03 00:00:00,,,,3,0,People's ,6173,11,A Haunted House,
Virginia Woolf,CC,,2,,,1944-01-03 00:00:00,,,,6,0,Office Supply,6175,7,A Haunted House,
Virginia Woolf,CC,,5,,,1944-01-03 00:00:00,,,,9,0,Foyle's,6180,18,A Haunted House,
Virginia Woolf,CC,,1,,,1944-01-03 00:00:00,,,,-,0,Freeman,6181,5,A Haunted House,
Virginia Woolf,,,12,,,1944-01-03 00:00:00,,,,-,2,Graftesmen,6193,5,A Haunted House,
Virginia Woolf,CC,,3,,,1944-01-03 00:00:00,,,,3,0,Chaucer,6196,11,A Haunted House,
Virginia Woolf,CC,,18,,,1944-01-03 00:00:00,,,,6,3,Vanguard,6214,7,A Haunted House,
Virginia Woolf,CC,,3,,,1944-01-03 00:00:00,,,,3,0,Rawson,6217,11,A Haunted House,
Virginia Woolf,CC,,3,,,1944-01-03 00:00:00,,,,3,0,Progressive  ,6220,11,A Haunted House,
Virginia Woolf,CC,,4,,,1944-01-03 00:00:00,,,,-,0,New Book.,6224,15,A Haunted House,
Virginia Woolf,CC,,3,,,1944-01-03 00:00:00,,,,3,0,New 8th Wales,6227,11,A Haunted House,
Virginia Woolf,CC,,3,,,1944-01-03 00:00:00,,,,3,0,Harding,6230,11,A Haunted House,
Virginia Woolf,CC,,3,,,1944-01-03 00:00:00,,,,3,0,Ferugson,6233,11,A Haunted House,
Virginia Woolf,CC,,2,,,1944-01-03 00:00:00,,,,6,0,Foward,6235,7,A Haunted House,
Virginia Woolf,CC,,6,,,1944-01-03 00:00:00,,,,6,1,Dawn,6241,2,A Haunted House,
Virginia Woolf,,,1,,,1944-01-03 00:00:00,,,,7.5,0,Celtic,6242,5,A Haunted House,
Virginia Woolf,,,4,,,1944-01-03 00:00:00,,,,-,1,Ancient,6246,-,A Haunted House,
Virginia Woolf,CC,,3,,,1944-01-03 00:00:00,,,,3,0,Austrial,6249,11,A Haunted House,
Virginia Woolf,CC,,3,,,1944-01-03 00:00:00,,,,3,0,Athenasam,6252,11,A Haunted House,
Virginia Woolf,,,12,,,1944-01-12 00:00:00,,,,0,3,Truslove,14303,0,A Haunted House,
Virginia Woolf,,,1,,,1944-01-25 00:00:00,,,,0,0,Amalgamated Press,1,5,A Haunted House,
Virginia Woolf,,,3,,,1944-01-25 00:00:00,,,,0,0,Ashew,4,15,A Haunted House,
Virginia Woolf,,,25,,,1944-01-25 00:00:00,,,,0,6,Banks,29,5,A Haunted House,
Virginia Woolf,,,100,,,1944-01-25 00:00:00,,,,0,25,Blackwell,129,0,A Haunted House,
Virginia Woolf,,,4,,,1944-01-25 00:00:00,,,,0,1,Bell,133,0,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Bon marche,139,10,A Haunted House,
Virginia Woolf,,,1,,,1944-01-25 00:00:00,,,,0,0,B. B. C.,140,5,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Burns Oats,146,10,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Bridges,152,10,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Bain,158,10,A Haunted House,
Virginia Woolf,,,10,,,1944-01-25 00:00:00,,,,0,2,Beazley,168,10,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Bentalls,180,0,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Burgess,186,10,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Book Hunters,198,0,A Haunted House,
Virginia Woolf,,,15,,,1944-01-25 00:00:00,,,,0,3,Book Club,213,15,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Beaumont,219,10,A Haunted House,
Virginia Woolf,,,25,,,1944-01-25 00:00:00,,,,0,6,Better Books,244,5,A Haunted House,
Virginia Woolf,,,25,,,1944-01-25 00:00:00,,,,0,6,Book Society,269,5,A Haunted House,
Virginia Woolf,,,50,,,1944-01-25 00:00:00,,,,0,12,Bowes & Bowes,319,10,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Bridge Library,325,10,A Haunted House,
Virginia Woolf,,,275,,,1944-01-25 00:00:00,,,,3,65,Boots,600,16,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Bryce,612,0,A Haunted House,
Virginia Woolf,,,24,,,1944-01-25 00:00:00,,,,0,6,Brights,636,0,A Haunted House,
Virginia Woolf,CC,,12,,,1944-01-25 00:00:00,,,,0,2,Clarck,648,5,A Haunted House,
Virginia Woolf,CC,,6,,,1944-01-25 00:00:00,,,,6,1,Clarck,654,2,A Haunted House,
Virginia Woolf,CC,,6,,,1944-01-25 00:00:00,,,,6,1,Clarck,660,2,A Haunted House,
Virginia Woolf,CC,,3,,,1944-01-25 00:00:00,,,,3,0,Clarck,663,11,A Haunted House,
Virginia Woolf,CC,,6,,,1944-01-25 00:00:00,,,,6,1,Clarck,669,2,A Haunted House,
Virginia Woolf,CC,,3,,,1944-01-25 00:00:00,,,,3,0,Clarck,672,11,A Haunted House,
Virginia Woolf,CC,,2,,,1944-01-25 00:00:00,,,,6,0,Clarck,674,7,A Haunted House,
Virginia Woolf,CC,,3,,,1944-01-25 00:00:00,,,,3,0,Clarck,677,11,A Haunted House,
Virginia Woolf,,,24,,,1944-01-25 00:00:00,,,,0,6,Denny ,701,0,A Haunted House,
Virginia Woolf,,,25,,,1944-01-25 00:00:00,,,,0,6,Foyle,726,5,A Haunted House,
Virginia Woolf,,,1,,,1944-01-25 00:00:00,,,,0,0,Greene,727,5,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Galloway,733,10,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Hodges Figgis,739,10,A Haunted House,
Virginia Woolf,,,62,,,1944-01-25 00:00:00,,,,0,15,Heywood Hill,801,10,A Haunted House,
Virginia Woolf,,,36,,,1944-01-25 00:00:00,,,,0,9,Harrison,837,0,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Handpord Parker,849,0,A Haunted House,
Virginia Woolf,,,150,,,1944-01-25 00:00:00,,,,0,37,Hatchards,999,10,A Haunted House,
Virginia Woolf,,,3,,,1944-01-25 00:00:00,,,,0,0,Hill & Churchill,1002,15,A Haunted House,
Virginia Woolf,,,3,,,1944-01-25 00:00:00,,,,0,0,Int. Univ. Booksellers,1005,15,A Haunted House,
Virginia Woolf,,,10,,,1944-01-25 00:00:00,,,,0,2,Jones & Evans,1015,10,A Haunted House,
Virginia Woolf,,,3,,,1944-01-25 00:00:00,,,,0,0,Kingsgate Press,1018,15,A Haunted House,
Virginia Woolf,,,25,,,1944-01-25 00:00:00,,,,0,6,Kew Bookshop,1043,5,A Haunted House,
Virginia Woolf,,,1,,,1944-01-25 00:00:00,,,,0,0,Knights,1044,5,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Lewis  Glasgow,1056,0,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Lewis Liverpool,1068,0,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Lewis Leeds,1080,0,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Lewis Hamley,1086,10,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Lewis Liverpool,1092,10,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Lewis Leicester,1098,10,A Haunted House,
Virginia Woolf,,,8,,,1944-01-25 00:00:00,,,,0,2,Lewis Leeds,1206,0,A Haunted House,
Virginia Woolf,,,8,,,1944-01-25 00:00:00,,,,0,2,Lewis Glasgow,1214,0,A Haunted House,
Virginia Woolf,,,8,,,1944-01-25 00:00:00,,,,0,2,Lewis B'ham,1222,0,A Haunted House,
Virginia Woolf,,,8,,,1944-01-25 00:00:00,,,,0,2,Lewis Manchester,1230,0,A Haunted House,
Virginia Woolf,,,24,,,1944-01-25 00:00:00,,,,0,6,Lewis,1254,0,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Lewis B'ham,1266,0,A Haunted House,
Virginia Woolf,,,110,,,1944-01-25 00:00:00,,,w.e.,0,27,"Lewis, Y.",1370,10,A Haunted House,
Virginia Woolf,,,36,,,1944-01-25 00:00:00,,,,0,9,Lamley,1406,0,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Lewis Garchift,1412,10,A Haunted House,
Virginia Woolf,,,1,,,1944-01-25 00:00:00,,,,0,0,Menzies,1413,5,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Milnes,1419,10,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Marshall,1431,0,A Haunted House,
Virginia Woolf,,,100,,,1944-01-25 00:00:00,,,w.e.,0,23,Menzies,1606,15,A Haunted House,
Virginia Woolf,,,25,,,1944-01-25 00:00:00,,,,0,6,Midland Educ. Leicester,1631,5,A Haunted House,
Virginia Woolf,,,1,,,1944-01-25 00:00:00,,,,0,0,Naggs,1632,5,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Myers,1638,10,A Haunted House,
Virginia Woolf,,,3,,,1944-01-25 00:00:00,,,,0,0,Miles,1641,15,A Haunted House,
Virginia Woolf,,,25,,,1944-01-25 00:00:00,,,,0,6,Oppenheim,1666,5,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Phillip,1678,0,A Haunted House,
Virginia Woolf,,,1,,,1944-01-25 00:00:00,,,,6,0,Pugh,1679,7,A Haunted House,
Virginia Woolf,,,3,,,1944-01-25 00:00:00,,,,0,0,Pattermo,1682,15,A Haunted House,
Virginia Woolf,,,3,,,1944-01-25 00:00:00,,,,0,0,Princes,1685,15,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Pearce,1697,0,A Haunted House,
Virginia Woolf,,,8,,,1944-01-25 00:00:00,,,,0,2,Petersfield Bookshop,1605,0,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Pied Piper,1611,10,A Haunted House,
Virginia Woolf,,,1,,,1944-01-25 00:00:00,,,,0,0,Quaritch,1612,5,A Haunted House,
Virginia Woolf,,,10,,,1944-01-25 00:00:00,,,,0,2,Roberts,1622,10,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Kula,1634,0,A Haunted House,
Virginia Woolf,,,50,,,1944-01-25 00:00:00,,,,0,12,Rees,1684,10,A Haunted House,
Virginia Woolf,,,1,,,1944-01-25 00:00:00,,,,0,0,Southeran,1685,5,A Haunted House,
Virginia Woolf,,,50,,,1944-01-25 00:00:00,,,,0,12,Stanley,1735,10,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Sweden,1741,10,A Haunted House,
Virginia Woolf,,,1,,,1944-01-25 00:00:00,,,,0,0,Smith,1742,5,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Smith Kingsway,1754,0,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Smith King's Cross,1766,0,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Smith Basingstone,1778,0,A Haunted House,
Virginia Woolf,,,25,,,1944-01-25 00:00:00,,,,0,6,Smith Sloane Sq.,1803,5,A Haunted House,
Virginia Woolf,,,2,,,1944-01-25 00:00:00,,,,0,0,Smith Northwood Hills,1805,10,A Haunted House,
Virginia Woolf,,,2,,,1944-01-25 00:00:00,,,,0,0,Smith Kiddermenster,1807,10,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Smith Victoria Noun,1813,10,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Smith Horntin Ct.,1825,0,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Smith Earls Ct.,1831,10,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Smith St. Paneras Deum,1843,0,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Smith Ealing Broadway,1855,0,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Smith Baher St,1867,0,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Smith Richmond,1873,10,A Haunted House,
Virginia Woolf,,,25,,,1944-01-25 00:00:00,,,,0,6,Simon & Parker,1898,5,A Haunted House,
Virginia Woolf,,,100,,,1944-01-25 00:00:00,,,,0,25,Stoneham Cheapside,1998,0,A Haunted House,
Virginia Woolf,,,9,,,1944-01-25 00:00:00,,,,0,2,Strathmore,2007,5,A Haunted House,
Virginia Woolf,,,4,,,1944-01-25 00:00:00,,,,0,1,Seafarers,2011,0,A Haunted House,
Virginia Woolf,,,12,,,1944-01-25 00:00:00,,,,0,3,Socialist Bookshop,2023,0,A Haunted House,
Virginia Woolf,,,7,,,1944-01-25 00:00:00,,,,0,1,Stevens & Brown,2030,15,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Solosy,2036,10,A Haunted House,
Virginia Woolf,,,6,,,1944-01-25 00:00:00,,,,0,1,Students Bookshop,2042,10,A Haunted House,
Virginia Woolf,,,50,,,1944-01-25 00:00:00,,,,0,12,Selfridge,2092,10,A Haunted House,
Virginia Woolf,,,75,,,1944-01-25 00:00:00,,,,0,18,"Truslove, Sloane St.",2167,15,A Haunted House,
Virginia Woolf,,,100,,,1944-01-25 00:00:00,,,,0,25,"Truslove, Clifford St.",2267,0,A Haunted House,
Virginia Woolf,,,325,,,1944-01-25 00:00:00,,,,9,77,Times,2592,3,A Haunted House,
